neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,cleaning_fee,guests_included,extra_people,minimum_nights
47,1,0,3,1.0,1.0,2.0,3,7663.0,5474.0,2,1095.0,2
45,1,0,3,1.0,0.0,2.0,3,7554.0,6000.0,2,1500.0,1
51,1,0,6,1.0,2.0,5.0,3,15874.0,8758.0,3,3832.0,1
32,14,2,3,1.0,1.0,0.0,3,4489.0,1000.0,1,2500.0,1
49,14,0,9,2.0,2.0,6.0,3,25180.0,10948.0,6,2080.0,2
45,1,0,4,1.0,1.0,2.0,3,13028.0,5000.0,2,2000.0,1
45,16,0,6,1.5,2.0,3.0,3,18830.0,7000.0,1,0.0,3
43,1,0,2,1.0,1.0,2.0,3,9853.0,3000.0,1,2000.0,2
45,1,0,3,1.5,1.0,0.0,3,11824.0,5000.0,2,2000.0,1
33,14,0,2,1.0,0.0,1.0,3,11495.0,3000.0,2,4000.0,2
42,1,0,4,1.0,1.0,4.0,3,5474.0,3502.0,1,2000.0,3
45,7,0,3,1.5,1.0,0.0,3,13028.0,5000.0,2,2000.0,1
43,1,0,4,1.0,1.0,3.0,3,12042.0,8000.0,2,3000.0,2
3,1,0,2,1.0,1.0,2.0,3,2518.0,1000.0,1,2000.0,1
6,14,2,6,1.5,2.0,6.0,3,2956.0,0.0,1,3000.0,2
19,14,2,6,1.0,3.0,2.0,3,5036.0,1500.0,2,4500.0,2
49,14,0,9,2.0,2.0,5.0,3,25180.0,10948.0,6,2080.0,2
49,14,0,11,2.0,3.0,4.0,3,25180.0,10948.0,6,2080.0,2
49,14,0,7,1.0,2.0,3.0,3,16750.0,7663.0,4,2080.0,2
19,14,0,8,1.0,3.0,7.0,3,4489.0,8500.0,4,0.0,2
44,1,0,4,1.0,2.0,3.0,3,11824.0,2000.0,2,3000.0,3
4,1,0,3,1.0,1.0,2.0,3,8977.0,3000.0,3,2000.0,2
51,1,0,6,1.0,2.0,2.0,3,14998.0,7800.0,3,2000.0,1
51,1,0,6,1.0,2.0,3.0,3,14998.0,7800.0,3,2000.0,1
29,1,0,6,2.0,1.0,4.0,3,14998.0,10010.0,2,2500.0,1
45,1,0,4,1.0,1.0,2.0,3,14998.0,4000.0,2,1509.0,2
45,1,0,4,1.0,1.0,2.0,3,16531.0,5500.0,2,1500.0,2
46,16,0,5,1.0,1.0,3.0,3,5036.0,6500.0,2,3000.0,1
45,1,0,6,1.0,2.0,3.0,3,11933.0,3284.0,1,2737.0,1
45,1,0,4,1.0,0.0,2.0,3,13247.0,0.0,2,2200.0,2
